_Leaf_,code,DGNS_DESC,all_pc,prnc_pc,all_cnt,prnc_cnt,leaf_total
0,M170,bilateral primary osteoarthritis of knee,,,,,69
0,T840,mechanical complication of internal joint prosthesis,,,,,69
0,M000,staphylococcal arthritis and polyarthritis,,,,,69
0,R298,oth symptoms and signs involving the nervous and ms systems,,,,,69
0,M751,"rotator cuff tear or rupture, not specified as traumatic",,,,,69
0,M190,primary osteoarthritis of other joints,,,,,69
0,M100,idiopathic gout,,,,,69
0,M220,recurrent dislocation of patella,,,,,69
0,S434,sprain of shoulder joint,,,,,69
0,M161,unilateral primary osteoarthritis of hip,,,,,69
0,M199,"osteoarthritis, unspecified site",,,,,69
0,M219,unspecified acquired deformity of limb and hand,,,,,69
0,M256,"stiffness of joint, not elsewhere classified",,,,,69
0,M870,idiopathic aseptic necrosis of bone,,,,,69
0,M898,other specified disorders of bone,,,,,69
0,S818,open wound of lower leg,,,,,69
0,T814,infection following a procedure,,,,,69
0,T846,infect/inflm reaction due to internal fixation device,,,,,69
0,L031,cellulitis and acute lymphangitis of other parts of limb,,,,,69
0,L089,"local infection of the skin and subcutaneous tissue, unsp",,,,,69
0,L905,scar conditions and fibrosis of skin,,,,,69
0,M131,"monoarthritis, not elsewhere classified",,,,,69
0,M138,other specified arthritis,,,,,69
0,M218,other specified acquired deformities of limbs,,,,,69
0,M253,other instability of joint,,,,,69
0,M753,calcific tendinitis of shoulder,,,,,69
0,M765,patellar tendinitis,,,,,69
0,M798,other specified soft tissue disorders,,,,,69
0,M893,hypertrophy of bone,,,,,69
0,M968,"oth intraop and postproc comp and disorders of ms sys, nec",,,,,69
0,Q686,discoid meniscus,,,,,69
0,R788,"finding of oth substances, not normally found in blood",,,,,69
0,S839,sprain of unspecified site of knee,,,,,69
0,T857,infect/inflm reaction due to oth internal prosth dev/grft,,,,,69
0,T858,"oth complications of internal prosth dev/grft, nec",,,,,69
0,Z000,encounter for general adult medical examination,,,,,69
0,Z471,aftercare following joint replacement surgery,,,,,69
0,M668,spontaneous rupture of other tendons,,0,,,69
0,S724,fracture of lower end of femur,,0,,,69
0,S834,sprain of collateral ligament of knee,,0,,,69
1,S832,"tear of meniscus, current injury",100,76.128016789,1906,1451,1906
1,M224,chondromalacia patellae,29.853095488,4.5645330535,569,87,1906
1,M171,unilateral primary osteoarthritis of knee,29.223504722,7.8174186779,557,149,1906
1,M942,chondromalacia,27.911857293,3.3053515215,532,63,1906
1,M658,other synovitis and tenosynovitis,7.3976915005,0.5771248688,141,11,1906
1,M234,loose body in knee,7.240293809,,138,,1906
1,M675,plica syndrome,6.8730325289,0.7345225603,131,14,1906
1,M255,pain in joint,6.5582371459,1.6264428122,125,31,1906
1,M122,villonodular synovitis (pigmented),3.9874081847,,76,,1906
1,M673,transient synovitis,3.6726128017,,70,,1906
1,M239,unspecified internal derangement of knee,1.888772298,,36,,1906
1,M232,derangement of meniscus due to old tear or injury,1.6789087093,,32,,1906
1,S833,"tear of articular cartilage of knee, current",1.4690451207,,28,,1906
1,M659,"synovitis and tenosynovitis, unspecified",1.3641133263,,26,,1906
1,M179,"osteoarthritis of knee, unspecified",1.3116474292,,25,,1906
1,M678,other specified disorders of synovium and tendon,1.259181532,,24,,1906
1,S835,sprain of cruciate ligament of knee,1.2067156348,,23,,1906
1,M233,other meniscus derangements,1.0493179433,,20,,1906
1,M651,other infective (teno)synovitis,0.8394543547,,16,,1906
1,M712,synovial cyst of popliteal space [baker],0.8394543547,0,16,,1906
1,M254,effusion of joint,0.629590766,0,12,,1906
1,S724,fracture of lower end of femur,0.5771248688,,11,,1906
1,M257,osteophyte,,0,,,1906
1,M238,other internal derangements of knee,,,,,1906
1,M112,other chondrocalcinosis,,,,,1906
1,M932,osteochondritis dissecans,,,,,1906
1,S821,fracture of upper end of tibia,,,,,1906
1,M796,"pain in limb, hand, foot, fingers and toes",,,,,1906
1,M125,traumatic arthropathy,,0,,,1906
1,M173,unilateral post-traumatic osteoarthritis of knee,,0,,,1906
1,M008,arthritis and polyarthritis due to other bacteria,,,,,1906
1,M230,cystic meniscus,,,,,1906
1,M246,ankylosis of joint,,,,,1906
1,M949,"disorder of cartilage, unspecified",,0,,,1906
1,M170,bilateral primary osteoarthritis of knee,,,,,1906
1,M228,other disorders of patella,,,,,1906
1,M190,primary osteoarthritis of other joints,,,,,1906
1,M948,other specified disorders of cartilage,,,,,1906
1,M794,hypertrophy of (infrapatellar) fat pad,,,,,1906
1,M199,"osteoarthritis, unspecified site",,0,,,1906
1,M236,other spontaneous disruption of ligament(s) of knee,,0,,,1906
1,S830,subluxation and dislocation of patella,,0,,,1906
1,M111,familial chondrocalcinosis,,,,,1906
1,M241,other articular cartilage disorders,,0,,,1906
1,M672,"synovial hypertrophy, not elsewhere classified",,0,,,1906
1,M705,other bursitis of knee,,0,,,1906
1,M765,patellar tendinitis,,0,,,1906
1,Z966,presence of orthopedic joint implants,,0,,,1906
1,M009,"pyogenic arthritis, unspecified",,,,,1906
