_Leaf_,code,DGNS_DESC,all_pc,all_cnt,leaf_total
0,,,,,378
1,N390,"urinary tract infection, site not specified",100,1100,1100
1,I10,essential (primary) hypertension,11.090909091,122,1100
1,E119,type 2 diabetes mellitus without complications,6.3636363636,70,1100
1,E039,"hypothyroidism, unspecified",5.7272727273,63,1100
1,E785,"hyperlipidemia, unspecified",5.4545454545,60,1100
1,E559,"vitamin d deficiency, unspecified",5.2727272727,58,1100
1,D649,"anemia, unspecified",4.7272727273,52,1100
1,R538,other malaise and fatigue,3.0909090909,34,1100
1,N183,"chronic kidney disease, stage 3 (moderate)",2.4545454545,27,1100
1,Z798,other long term (current) drug therapy,2.3636363636,26,1100
1,R300,dysuria,2.1818181818,24,1100
1,R350,frequency of micturition,2.1818181818,24,1100
1,R319,"hematuria, unspecified",2,22,1100
1,D509,"iron deficiency anemia, unspecified",1.9090909091,21,1100
1,E780,pure hypercholesterolemia,1.9090909091,21,1100
1,R391,other difficulties with micturition,1.9090909091,21,1100
1,N401,enlarged prostate with lower urinary tract symptoms,1.7272727273,19,1100
1,R730,abnormal glucose,1.7272727273,19,1100
1,E782,mixed hyperlipidemia,1.4545454545,16,1100
1,N328,other specified disorders of bladder,1.4545454545,16,1100
1,E784,other hyperlipidemia,1.3636363636,15,1100
1,R809,"proteinuria, unspecified",1.2727272727,14,1100
1,R972,elevated prostate specific antigen [psa],1.2727272727,14,1100
1,N189,"chronic kidney disease, unspecified",1.1818181818,13,1100
1,N184,"chronic kidney disease, stage 4 (severe)",1.0909090909,12,1100
1,N400,enlarged prostate without lower urinary tract symptoms,1,11,1100
1,R312,other microscopic hematuria,1,11,1100
1,R829,other and unspecified abnormal findings in urine,1,11,1100
1,E538,deficiency of other specified b group vitamins,,,1100
1,N394,other specified urinary incontinence,,,1100
1,R339,"retention of urine, unspecified",,,1100
1,I129,hypertensive chronic kidney disease w stg 1-4/unsp chr kdny,,,1100
1,R310,gross hematuria,,,1100
1,N200,calculus of kidney,,,1100
1,N258,oth disorders resulting from impaired renal tubular function,,,1100
1,R418,oth symptoms and signs w cognitive functions and awareness,,,1100
1,Z000,encounter for general adult medical examination,,,1100
1,C61,malignant neoplasm of prostate,,,1100
1,N302,other chronic cystitis,,,1100
1,N952,postmenopausal atrophic vaginitis,,,1100
1,R799,"abnormal finding of blood chemistry, unspecified",,,1100
1,Z018,encounter for other specified special examinations,,,1100
1,Z874,personal history of diseases of genitourinary system,,,1100
1,R32,unspecified urinary incontinence,,,1100
1,Z125,encounter for screening for malignant neoplasm of prostate,,,1100
1,M109,"gout, unspecified",,,1100
1,N281,"cyst of kidney, acquired",,,1100
1,N300,acute cystitis,,,1100
1,R351,nocturia,,,1100
1,R739,"hyperglycemia, unspecified",,,1100
1,Z132,"encntr screen for nutritional, metabolic and oth endo disord",,,1100
1,Z940,kidney transplant status,,,1100
1,C679,"malignant neoplasm of bladder, unspecified",,,1100
1,E834,disorders of magnesium metabolism,,,1100
1,N393,stress incontinence (female) (male),,,1100
1,N419,"inflammatory disease of prostate, unspecified",,,1100
1,N529,"male erectile dysfunction, unspecified",,,1100
1,R399,unsp symptoms and signs involving the genitourinary system,,,1100
1,N182,"chronic kidney disease, stage 2 (mild)",,,1100
1,N320,bladder-neck obstruction,,,1100
1,N429,"disorder of prostate, unspecified",,,1100
1,Z854,personal history of malignant neoplasm of genital organs,,,1100
1,E038,other specified hypothyroidism,,,1100
1,N138,other obstructive and reflux uropathy,,,1100
1,N309,"cystitis, unspecified",,,1100
1,R790,abnormal level of blood mineral,,,1100
1,Z855,personal history of malignant neoplasm of urinary tract,,,1100
2,E559,"vitamin d deficiency, unspecified",100,454,454
2,I10,essential (primary) hypertension,47.577092511,216,454
2,E785,"hyperlipidemia, unspecified",29.735682819,135,454
2,E039,"hypothyroidism, unspecified",21.365638767,97,454
2,E119,type 2 diabetes mellitus without complications,21.145374449,96,454
2,E782,mixed hyperlipidemia,18.281938326,83,454
2,Z000,encounter for general adult medical examination,15.63876652,71,454
2,D649,"anemia, unspecified",14.537444934,66,454
2,R538,other malaise and fatigue,14.537444934,66,454
2,R730,abnormal glucose,14.537444934,66,454
2,Z798,other long term (current) drug therapy,12.995594714,59,454
2,E780,pure hypercholesterolemia,11.233480176,51,454
2,E538,deficiency of other specified b group vitamins,9.4713656388,43,454
2,N183,"chronic kidney disease, stage 3 (moderate)",7.0484581498,32,454
2,N400,enlarged prostate without lower urinary tract symptoms,6.1674008811,28,454
2,E784,other hyperlipidemia,5.9471365639,27,454
2,Z125,encounter for screening for malignant neoplasm of prostate,4.6255506608,21,454
2,D509,"iron deficiency anemia, unspecified",4.4052863436,20,454
2,R350,frequency of micturition,3.9647577093,18,454
2,E038,other specified hypothyroidism,2.8634361233,13,454
2,M109,"gout, unspecified",2.8634361233,13,454
2,R799,"abnormal finding of blood chemistry, unspecified",2.6431718062,12,454
2,R809,"proteinuria, unspecified",2.6431718062,12,454
2,I129,hypertensive chronic kidney disease w stg 1-4/unsp chr kdny,2.422907489,11,454
2,R739,"hyperglycemia, unspecified",2.422907489,11,454
2,R300,dysuria,,,454
2,Z132,"encntr screen for nutritional, metabolic and oth endo disord",,,454
2,R829,other and unspecified abnormal findings in urine,,,454
2,N258,oth disorders resulting from impaired renal tubular function,,,454
2,E834,disorders of magnesium metabolism,,,454
2,N429,"disorder of prostate, unspecified",,,454
2,R351,nocturia,,,454
2,Z131,encounter for screening for diabetes mellitus,,,454
2,C61,malignant neoplasm of prostate,,,454
2,R972,elevated prostate specific antigen [psa],,,454
2,R32,unspecified urinary incontinence,,,454
